DEPTH,BVW,KLOGH,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
3568.300737,0.049199998,6.41779995,0.337599993,93.65080261,43.82939911,0.203899994,2.711299896,2.243999958,13.77820015,Sandstone
3568.453137,0.0493,7.020699978,0.334899992,92.72570038,43.51409912,0.210500002,2.875699997,2.246400118,13.74020004,Sandstone
3568.605537,0.048999999,6.195600033,0.333700001,89.98590088,43.37170029,0.194299996,2.961499929,2.251399994,13.68220043,Sandstone
3568.757938,0.049199998,6.926499844,0.329400003,89.08609772,42.88420105,0.198500007,2.973099947,2.252599955,13.56589985,Sandstone
3568.910338,0.0495,8.234900475,0.324900001,90.08460236,42.36650085,0.207499996,2.91899991,2.250400066,13.4467001,Sandstone
3569.062738,0.049400002,7.285999775,0.329100013,88.80549622,42.85100174,0.201900005,2.947900057,2.2493999,13.49989986,Sandstone
3569.215138,0.0491,8.558400154,0.319499999,89.48100281,41.73899841,0.203199998,2.976900101,2.257200003,13.55440044,Sandstone
3569.367539,0.0491,7.902200222,0.321999997,92.98480225,42.0340004,0.206499994,2.999500036,2.265300035,13.56270027,Sandstone
3569.519939,0.048500001,6.892700195,0.325800002,95.84629822,42.46549988,0.190599993,2.921099901,2.256099939,13.86340046,Sandstone
3569.672339,0.048999999,6.835499763,0.333499998,97.11979675,43.3492012,0.201100007,2.806600094,2.244400024,13.8757,Sandstone
3569.82474,0.048999999,7.652100086,0.332199991,99.01239777,43.20429993,0.203700006,2.72300005,2.233700037,13.96119976,Sandstone
3569.97714,0.048700001,8.783499718,0.324000001,97.42720032,42.26240158,0.199200004,2.675400019,2.233500004,14.10680008,Sandstone
3570.12954,0.048999999,11.56270027,0.317000002,94.41629791,41.45909882,0.209299996,2.680000067,2.224699974,14.04370022,Sandstone
3570.281941,0.0491,8.819499969,0.334300011,92.73660278,43.45000076,0.220699996,2.655499935,2.223999977,14.22099972,Sandstone
3570.434341,0.048799999,8.791199684,0.334300011,93.49960327,43.44910049,0.214499995,2.588000059,2.217299938,14.44299984,Sandstone
3570.586741,0.0491,6.135799885,0.351500005,93.83519745,45.42520142,0.224700004,2.679199934,2.229799986,14.3039999,Sandstone
3570.739141,0.048799999,6.239900112,0.341500014,93.82820129,44.27310181,0.203199998,2.843400002,2.234899998,14.18929958,Sandstone
3570.891542,0.0495,9.102499962,0.33070001,94.40920258,43.03269958,0.228499994,2.950500011,2.24000001,13.89350033,Sandstone
3571.043942,0.049400002,9.414600372,0.331,93.76190186,43.06579971,0.229599997,2.858999968,2.234999895,13.96809959,Sandstone
3571.196342,0.049199998,10.11219978,0.321200013,93.78309631,41.93930054,0.208800003,2.771199942,2.231600046,13.89099979,Sandstone
3571.348743,0.048999999,8.732000351,0.321799994,92.83350372,42.01029968,0.194000006,2.838099957,2.235500097,13.76000023,Sandstone
3571.501143,0.049199998,11.32439995,0.314099997,91.48090363,41.11970139,0.211500004,2.978899956,2.240200043,13.7531004,Sandstone
3571.653543,0.048999999,9.61289978,0.316599995,90.75710297,41.40399933,0.202500001,3.279999971,2.247600079,13.70069981,Sandstone
3571.805944,0.0495,8.560899734,0.329400003,89.38580322,42.88209915,0.231000006,3.542900085,2.256999969,13.6814003,Sandstone
3571.958344,0.048799999,7.280399799,0.327300012,88.90910339,42.64239883,0.210299999,3.635699987,2.265300035,13.84829998,Sandstone
3572.110744,0.048999999,8.0145998,0.3222,86.72570038,42.05210114,0.208499998,3.290600061,2.264899969,13.6257,Sandstone
3572.263145,0.048799999,6.005300045,0.32949999,85.91049957,42.89179993,0.187999994,2.8677001,2.262700081,13.59200001,Sandstone
3572.415545,0.049400002,5.896999836,0.340600014,86.65350342,44.16830063,0.207599998,2.672899961,2.252000093,13.63500023,Sandstone
3572.567945,0.049199998,3.059499979,0.372000009,86.6529007,47.77700043,0.199000001,2.618999958,2.242899895,13.9666996,Sandstone
3572.720345,0.048999999,3.07949996,0.370499998,88.30220032,47.60250092,0.190599993,2.569400072,2.236999989,14.04349995,Sandstone
3572.872746,0.048900001,4.249499798,0.356700003,87.6917038,46.02000046,0.196500003,2.523499966,2.238100052,14.05959988,Sandstone
3573.025146,0.048300002,7.118100166,0.327800006,87.77030182,42.69309998,0.188700005,2.51609993,2.242300034,14.1843996,Sandstone
3573.177546,0.048,7.398799896,0.330900013,88.57730103,43.05860138,0.202000007,2.621900082,2.24119997,14.60529995,Sandstone
3573.329947,0.047200002,5.859499931,0.341399997,91.21510315,44.26100159,0.194000006,2.699100018,2.234499931,15.26550007,Sandstone
3573.482347,0.047600001,4.8052001,0.358099997,92.09490204,46.18040085,0.209399998,2.751600027,2.229099989,15.29039955,Sandstone
3573.634747,0.046599999,4.563899994,0.358500004,90.63459778,46.23040009,0.201199993,2.938699961,2.226300001,16.09370041,Sandstone
3573.787148,0.046500001,5.008399963,0.355100006,90.21009827,45.83869934,0.212699994,3.189100027,2.236099958,16.11720085,Sandstone
3573.939548,0.045299999,8.253299713,0.326299995,91.42289734,42.51890182,0.199599996,3.424499989,2.236500025,16.76729965,Sandstone
3574.091948,0.044799998,8.611499786,0.321700007,90.93849945,41.99330139,0.197400004,3.632699966,2.242199898,17.0883007,Sandstone
3574.244348,0.0449,8.185700417,0.326799989,90.24960327,42.57830048,0.202999994,3.682800055,2.240099907,17.18899918,Sandstone
3574.396749,0.044500001,5.395899773,0.348399997,89.93789673,45.07130051,0.207900003,3.837199926,2.240700006,17.7840004,Sandstone
3574.549149,0.044100001,6.891699791,0.333099991,89.51059723,43.30250168,0.195299998,3.761899948,2.237699986,17.93799973,Sandstone
3574.701549,0.042199999,7.752200127,0.327699989,88.30410004,42.68629837,0.196600005,3.995199919,2.238199949,19.91449928,Sandstone
3574.85395,0.042100001,8.077899933,0.324900001,87.33740234,42.3594017,0.198899999,4.271999836,2.243599892,19.90239906,Sandstone
3575.00635,0.041999999,8.158900261,0.324099988,87.23719788,42.27119827,0.199599996,4.843599796,2.245399952,20.10009956,Sandstone
3575.15875,0.041099999,8.122200012,0.326000005,85.67890167,42.49549866,0.202800006,5.188799858,2.243400097,21.25320053,Sandstone
3575.311151,0.042199999,7.970200062,0.326299995,84.0358963,42.52539825,0.205400005,5.444099903,2.248600006,19.92980003,Sandstone
3575.463551,0.041000001,5.890500069,0.335299999,81.23999786,43.55820084,0.200100005,5.451499939,2.260799885,21.08639908,Sandstone
3575.615951,0.040600002,3.8197999,0.343499988,80.83029938,44.49969864,0.181199998,5.231100082,2.280499935,21.02300072,Sandstone
3575.768352,0.037900001,4.998400211,0.324299991,80.91210175,42.29199982,0.183300003,4.954100132,2.30340004,24.26709938,Sandstone
3575.920752,0.034200002,4.159500122,0.322400004,80.68219757,42.07920074,0.167099997,4.760300159,2.319600105,30.16679955,Sandstone
