DEPTH,BVW,KLOGH,PHIF,VSH,DT,GR,NPHI,PEF,RHOB,RT,LITHOLOGY
4001.7,0.031,137.412,0.244,0.202,,29.632,0.207,4.563,2.207,43.601,Sandstone
4001.8,0.029,193.314,0.251,0.191,,28.307,0.206,4.507,2.188,51.251,Sandstone
4001.9,0.027,178.887,0.253,0.197,,29.055,0.203,4.475,2.177,60.067,Sandstone
4002,0.025,204.287,0.255,0.192,,28.395,0.2,4.476,2.17,70.477,Sandstone
4002.1,0.023,214.829,0.256,0.19,,28.228,0.198,4.497,2.164,87.477,Sandstone
4002.2,0.026,293.058,0.258,0.177,,26.615,0.199,4.515,2.16,65.806,Sandstone
4002.3,0.027,223.822,0.26,0.192,,28.41,0.203,4.527,2.159,62.094,Sandstone
4002.4,0.027,189.796,0.261,0.201,,29.525,0.208,4.539,2.16,60.616,Sandstone
4002.5,0.027,257.041,0.261,0.186,,27.747,0.211,4.556,2.163,61.033,Sandstone
4002.6,0.027,311.724,0.261,0.177,,26.603,0.213,4.565,2.166,59.123,Sandstone
4002.7,0.026,281.418,0.259,0.18,,27.008,0.209,4.55,2.167,67.875,Sandstone
4002.8,0.026,356.842,0.258,0.168,,25.487,0.205,4.507,2.166,64.953,Sandstone
4002.9,0.025,319.214,0.258,0.173,,26.138,0.201,4.465,2.161,72.09,Sandstone
4003,0.026,310.964,0.259,0.175,,26.387,0.2,4.46,2.158,63.498,Sandstone
4003.1,0.026,268.118,0.26,0.183,,27.34,0.201,4.5,2.156,67.087,Sandstone
4003.2,0.025,280.27,0.26,0.181,,27.109,0.203,4.556,2.158,74.509,Sandstone
4003.3,0.021,341.067,0.259,0.171,,25.886,0.205,4.599,2.163,110.967,Sandstone
4003.4,0.02,293.541,0.258,0.177,,26.592,0.205,4.613,2.168,131.884,Sandstone
4003.5,0.019,206.491,0.256,0.192,,28.447,0.205,4.609,2.173,143.982,Sandstone
